U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1998,8.58,7.69,4.85,Not Available,6.85,7.21
08/01/1998,8.57,7.67,4.78,Not Available,6.7,7.14
09/01/1998,8.43,7.55,4.62,Not Available,6.58,6.95
10/01/1998,8.25,7.44,4.42,Not Available,6.75,6.69
11/01/1998,8.04,7.11,4.32,Not Available,6.1,6.39
12/01/1998,7.92,7.11,4.3,Not Available,6.7,6.46
01/01/1999,7.58,6.99,4.28,Not Available,6.35,6.42
02/01/1999,7.92,7.18,4.32,Not Available,6.17,6.5
03/01/1999,7.9,7.15,4.19,Not Available,6.32,6.43
04/01/1999,8.09,7.08,4.24,Not Available,6.32,6.4
05/01/1999,8.27,7.21,4.3,Not Available,6.39,6.5
06/01/1999,8.43,7.42,4.54,Not Available,6.45,6.83
07/01/1999,8.49,7.56,4.8,Not Available,6.45,7.11
08/01/1999,8.42,7.49,4.87,Not Available,6.44,7.08
09/01/1999,8.36,7.45,4.57,Not Available,6.39,6.87
10/01/1999,8.37,7.41,4.47,Not Available,6.49,6.7
11/01/1999,8.09,7.13,4.27,Not Available,6.16,6.39
12/01/1999,7.94,6.88,4.19,Not Available,6.26,6.41
01/01/2000,7.66,6.93,4.31,Not Available,6.2,6.4
02/01/2000,7.71,6.96,4.32,Not Available,6.44,6.39
03/01/2000,8.09,7.03,4.31,Not Available,6.45,6.44
04/01/2000,8.15,7.05,4.32,Not Available,6.74,6.43
05/01/2000,8.34,7.25,4.51,Not Available,6.42,6.64
06/01/2000,8.56,7.7,4.75,Not Available,6.74,7.06
07/01/2000,8.61,7.76,4.95,Not Available,6.65,7.25
08/01/2000,8.63,7.93,5.07,Not Available,6.66,7.34
09/01/2000,8.51,7.73,4.84,Not Available,6.71,7.11
10/01/2000,8.49,7.67,4.74,Not Available,6.66,6.94
11/01/2000,8.15,7.34,4.59,Not Available,6.4,6.66
12/01/2000,7.82,7.52,4.88,Not Available,6.57,6.85
01/01/2001,7.73,7.25,4.75,Not Available,6.48,6.75
02/01/2001,8.04,7.51,4.81,Not Available,6.94,6.87
03/01/2001,8.32,7.7,4.87,Not Available,7.05,7.01
04/01/2001,8.46,7.73,4.87,Not Available,7.04,7.02
05/01/2001,8.83,7.77,5,Not Available,7.14,7.17
06/01/2001,9.07,8.13,5.23,Not Available,7.51,7.58
07/01/2001,9.03,8.41,5.56,Not Available,7.7,7.87
08/01/2001,9.01,8.35,5.49,Not Available,7.58,7.84
09/01/2001,8.92,8.22,5.3,Not Available,7.23,7.62
10/01/2001,8.84,8.27,5.06,Not Available,7.52,7.43
11/01/2001,8.48,7.73,4.78,Not Available,7.1,7.02
12/01/2001,8.29,7.66,4.78,Not Available,6.99,7.03
01/01/2002,8.07,7.49,4.73,Not Available,6.44,6.95
02/01/2002,8.19,7.68,4.76,Not Available,6.67,6.97
03/01/2002,8.17,7.72,4.73,Not Available,6.64,6.95
04/01/2002,8.37,7.68,4.73,Not Available,6.74,6.95
